#,priority,priority_name,fds,footprint,footprint_peak,dirty,PE,frozen,docked,swappable,coalition_id,pid,name,flags,total_dirty_time,process_lifetime,percent_dirty
214,0,(Idle),3,2785,2961,N,Y,-,N,-,312,194,mobilerepaird,(---),18,181,10.45
215,0,(Idle),8,3265,3265,N,Y,-,N,-,554,345,CategoriesService,(---),107,163,65.88
216,0,(Idle),3,1937,4065,N,Y,-,N,-,528,322,adid,(---),0,166,0.12
217,0,(Idle),7,4401,4833,N,Y,-,N,-,510,312,cloudtelemetryd,(---),16,168,10.06
218,0,(Idle),3,5681,6113,N,Y,-,N,-,176,119,usernotificationsd,(---),129,183,70.78
219,0,(Idle),7,3873,4065,N,Y,-,N,-,455,276,applekeystored,(---),61,173,35.61
220,0,(Idle),35,16817,18161,N,Y,-,N,-,391,243,homed,(---),153,177,86.55
221,0,(Idle),3,5633,5873,N,Y,-,N,-,292,183,profiled,(---),79,181,43.58
222,0,(Idle),3,3409,13809,N,Y,-,N,-,445,271,callintelligenced,(---),150,173,86.73
223,0,(Idle),8,6129,6257,N,Y,-,N,-,695,451,photoanalysisd,(---),60,131,46.20
224,0,(Idle),6,3745,4145,N,Y,-,N,-,567,659,biomesyncd,(---),3,39,9.71
225,0,(Idle),9,2689,3249,N,Y,-,N,-,98,367,TilesService,(---),113,155,72.84
226,0,(Idle),17,7489,7953,N,Y,-,N,-,494,301,storekitd,(---),75,170,44.50
227,0,(Idle),3,4433,20945,N,Y,-,N,-,672,429,icloudmailagent,(---),102,140,73.18
228,0,(Idle),3,4561,4833,N,Y,-,N,-,308,192,ndoagent,(---),141,181,77.80
229,0,(Idle),18,8465,9441,N,Y,-,N,-,144,102,amsaccountsd,(---),95,184,51.80
230,0,(Idle),6,2945,3185,N,Y,-,N,-,584,665,backupd,(---),18,33,54.79
231,0,(Idle),17,6481,8753,N,Y,-,N,-,397,246,bird,(---),46,176,26.45
232,0,(Idle),3,2689,2817,N,Y,-,N,-,395,245,countryd,(---),44,176,24.92
233,0,(Idle),3,2721,4577,N,Y,-,N,-,264,166,localizationswitcherd,(---),3,182,1.99
234,0,(Idle),3,2929,3201,N,Y,-,N,-,664,424,AMPIDService,(---),82,141,58.05
235,0,(Idle),4,3873,5041,N,Y,-,N,-,472,635,FPCKService,(---),26,72,36.99
236,0,(Idle),3,2593,2593,N,Y,-,N,-,429,455,intents_helper,(---),71,130,54.76
237,0,(Idle),3,3505,4129,N,Y,-,N,-,212,138,nehelper,(---),8,183,4.65
238,0,(Idle),13,5905,6161,N,Y,-,N,-,431,264,StatusKitAgent,(---),94,173,54.65
239,0,(Idle),6,5217,5377,N,Y,-,N,-,536,326,intelligentroutingd,(---),105,166,63.20
240,0,(Idle),4,3297,3569,N,Y,-,N,-,196,129,batteryintelligenced,(---),19,183,10.45
