## smcDiagnose 5.00 200
RVER , 0x41 70 70 6c 65 53 4d 43  46 69 72 6d 77 61 72 65  5f 48 31 36 5f 32 2d 37  33 37 32 2e 30 2e 31 33  31 2e 30 2e 34 2e 64 38  34 2e 52 45 4c 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
SBAC , -2.315000
SBAP , -9.908200
SBAR , 2927.000000
SBAS , 75.000000
SBAU , 74.000000
SBAV , 4.280000
SBC0 , 0x7d 0b b3 0d 53 0e 7c 0e  7f 0e 85 0e 96 0e a5 0e  b2 0e bb 0e c7 0e d5 0e  e1 0e ea 0e f4 0e fe 0e  0a 0f 18 0f 27 0f 39 0f  4c 0f 
SBC1 , 0x6b 0b 9a 0d 3c 0e 6a 0e  6f 0e 76 0e 87 0e 97 0e  a3 0e ae 0e bc 0e cb 0e  db 0e e6 0e f0 0e fc 0e  09 0f 17 0f 27 0f 39 0f  4c 0f 
SBC2 , 0x61 0b 8b 0d 2f 0e 5f 0e  66 0e 6c 0e 7e 0e 8e 0e  9b 0e a7 0e b5 0e c4 0e  d7 0e e3 0e ee 0e fa 0e  07 0f 16 0f 26 0f 38 0f  4c 0f 
SBCK , 46890.000000
SBCS , 0x11 b9 00 00 db fd ff ff  06 ff ff ff 12 00 00 00  8b 16 02 00 
SBCV , 0x40 17 17 00 32 a6 00 00  0b ed ff ff 47 00 00 00  1b 3b 04 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 
SBFC , 0.000000
SBOF , 3772.000000
SBOP , 7359.000000
SBOR , 2776.000000
SBOT , 0.000000
SBOU , 0.000000
SBPF , 0.000000
SBPS , 0.000000
SBRF , 0.097860
SBRR , 47.000000
SBSG , 0.000000
SBSL , 0.009700
SBSO , 3593.000000
SBSR , 0.017433
SBSS , 0.045023
SBST , 0.000000
SBSV , 3430.000000
SBTR , 0.045023
SBVF , 0.000000
SBVR , 0.000000
SDMX , 9.000000
SDNS , 0.000000
SDTA , 0.000000
SDTB , 0.000000
SDTC , 681.318604
SDTD , 0.000000
SDTF , 0.000000
SDTH , 0.000000
SDTL , 287.055084
SDTM , 2175.000000
SDTO , 84.000000
SDTR , 0.000000
SDTS , 0.000000
SDTT , 0.000000
SDTZ , 0.000000
SDTa , 0.000000
SDTh , 0.000000
SDTj , 0.000000
SDTl , 1.000000
SDTo , 1.000000
SDTs , 0.000000
SDTt , 0.000000
SDTu , -127.000000
SDTw , 0.000000
SEB0 , 0x00 00 00 00 
